,id,rating,release_date_cert
470,23742,R,2010-02-26 00:00:00+00:00
471,27581,PG-13,2010-08-06 00:00:00+00:00
472,297761,PG-13,2016-08-05 00:00:00+00:00
473,64635,PG-13,2012-08-03 00:00:00+00:00
474,301337,R,2017-12-22 00:00:00+00:00
475,301337,R,2017-12-22 00:00:00+00:00
476,74465,PG,2011-12-23 00:00:00+00:00
477,335791,PG-13,2016-09-09 00:00:00+00:00
478,335791,PG-13,2016-09-09 00:00:00+00:00
479,205775,PG-13,2015-12-11 00:00:00+00:00
480,205775,PG-13,2015-12-11 00:00:00+00:00
481,171759,PG,2013-03-01 00:00:00+00:00
482,35688,PG-13,2010-04-02 00:00:00+00:00
483,70160,PG-13,2012-03-23 00:00:00+00:00
484,76341,R,2015-05-15 00:00:00+00:00
485,38579,PG,2010-06-04 00:00:00+00:00
486,146233,R,2013-08-30 00:00:00+00:00
487,346364,R,2017-09-05 00:00:00+00:00
488,346364,R,2017-09-05 00:00:00+00:00
489,82675,PG-13,2012-10-04 00:00:00+00:00
490,72545,PG,2012-02-10 00:00:00+00:00
491,277216,R,2016-01-19 00:00:00+00:00
492,277216,R,2016-01-19 00:00:00+00:00
493,38356,PG-13,2011-06-28 00:00:00+00:00
494,39013,R,2010-01-21 00:00:00+00:00
495,48138,PG-13,2011-02-18 00:00:00+00:00
496,48138,PG-13,2011-02-18 00:00:00+00:00
497,65759,PG,2011-11-17 00:00:00+00:00
498,44835,R,2010-01-22 00:00:00+00:00
499,290555,R,2014-11-14 00:00:00+00:00
500,290555,R,2014-11-14 00:00:00+00:00
501,44264,PG-13,2010-12-22 00:00:00+00:00
502,23169,PG-13,2010-03-12 00:00:00+00:00
503,23169,PG-13,2010-03-12 00:00:00+00:00
504,44944,R,2010-11-05 00:00:00+00:00
505,38093,PG,2010-05-14 00:00:00+00:00
506,54138,PG-13,2013-05-16 00:00:00+00:00
507,168530,PG-13,2014-01-17 00:00:00+00:00
508,168530,PG-13,2014-01-17 00:00:00+00:00
