,id,imdb_id,title,budget,release_date,revenue,runtime,original_language,original_title,vote_average,vote_count,poster_path,genres_id,genres_name,spoken_languages_name,production_companies_id,production_companies_name,production_companies_origin_country
2854,107768,tt1857724,Hidden Colors,50000,2011-04-14,0,109.0,en,Hidden Colors,10.0,3,/u3yolLjN78gpEcKTjQxBkm8O1R7.jpg,[99],['Documentary'],['English'],[],[],[]
2855,78043,tt1814946,Who's There?,120,2011-04-14,0,28.0,en,Who's There?,10.0,1,,[],[],[],[],[],[]
2856,99776,,Bright Eyes Austin Auditorium Shore,0,2011-04-14,0,0.0,en,Bright Eyes Austin Auditorium Shore,5.3,2,,[10402],['Music'],[],[],[],[]
2857,72843,tt1381413,Pete Smalls Is Dead,6000000,2010-09-17,0,95.0,en,Pete Smalls Is Dead,4.6,11,,[35],['Comedy'],[],"[127344, 3074]","['Ms. Tangerine Productions', 'Pantry Films']","['', '']"
2858,116514,tt1488602,The Forest,2,2011-04-14,0,98.0,en,Forest of the Living Dead,2.5,1,,"[27, 53]","['Horror', 'Thriller']",['English'],[],[],[]
2859,186071,tt1851076,The Terrys,0,2011-04-14,0,15.0,en,The Terrys,6.4,5,,[35],['Comedy'],['English'],[64264],['Abso Lutely Productions'],['US']
2860,65218,tt1648204,Lemonade Mouth,0,2011-12-06,0,106.0,en,Lemonade Mouth,7.3,655,/nrGiOFh7wk2x726tiN8kQ6nhF5b.jpg,"[18, 35]","['Drama', 'Comedy']","['English', 'Français', 'Nederlands']","[3213, 53583]","['Disney Channel', 'Martin Chase Productions']","['US', 'US']"
2861,375247,tt2070696,I Touch a Red Button,0,2011-04-15,0,6.0,en,I Touch a Red Button,5.7,19,/cFl9zagoQ73cWBZ1l88q3PR1xrc.jpg,[10402],['Music'],['English'],[],[],[]
2862,56780,tt0480239,Atlas Shrugged: Part I,15000000,2011-04-14,4627375,97.0,en,Atlas Shrugged: Part I,5.2,114,/tYfZIQb6ZabSUy1s1TRqSrYaAoM.jpg,"[18, 53, 878, 9648]","['Drama', 'Thriller', 'Science Fiction', 'Mystery']",['English'],[30031],['Atlas Productions'],['']
2863,341598,,Puppets,0,2011-04-15,0,3.0,en,Puppets,7.0,1,,"[14, 35]","['Fantasy', 'Comedy']",['English'],[54015],['F5 RE:PLAY'],['']
2864,537876,tt1977032,Kick Drum Hearts,200,2011-04-15,0,77.0,en,Kick Drum Hearts,10.0,1,,[99],['Documentary'],[],[107009],['Pully Productions'],['']
2865,202152,tt1268224,An Inconvenient Tax,0,2011-04-15,0,78.0,en,An Inconvenient Tax,7.0,1,/lTWJxlc6Q24NN3an1o9PUCssUZ3.jpg,[99],['Documentary'],[],[],[],[]
2866,62078,tt1466067,Square Grouper,0,2011-04-15,0,100.0,en,Square Grouper,5.9,8,/cUGU8C2Fwz9Nkqcx0H5n3m3bZWq.jpg,[99],['Documentary'],['Deutsch'],[6303],['Rakontur'],['']
2867,104250,tt1759682,The Loving Story,0,2011-04-15,0,77.0,en,The Loving Story,7.0,13,/wp3GoqpMNZ7RhxfiZauxPcTjIbV.jpg,"[99, 18, 36]","['Documentary', 'Drama', 'History']",['English'],[],[],[]
2868,101952,tt1860320,Teddy: It's Gonna Be a Bear,0,2011-04-15,0,12.0,en,Teddy: It's Gonna Be a Bear,5.1,8,,[27],['Horror'],[],[],[],[]
2869,46195,tt1436562,Rio,90000000,2011-04-03,484635760,96.0,en,Rio,6.6,4339,/6qCgledQWttNg3EKpts8RYes74r.jpg,"[16, 12, 35, 10751]","['Animation', 'Adventure', 'Comedy', 'Family']","['English', 'Português']","[9383, 11749, 25]","['Blue Sky Studios', '20th Century Fox Animation', '20th Century Fox']","['US', 'US', 'US']"
2870,60309,tt0968264,The Conspirator,25000000,2010-09-10,15478800,122.0,en,The Conspirator,6.6,277,/7oF9c8F9PfswtMAuodi6gMEttuo.jpg,"[80, 18, 36]","['Crime', 'Drama', 'History']",['English'],"[316, 7486]","['Wildwood Enterprises', 'American Film Company']","['US', '']"
2871,185248,tt1262414,Pig,0,2011-04-16,0,90.0,en,Pig,6.0,13,/y9ACSSRDV3tqQ4VbrAfyW2oifEU.jpg,"[18, 9648, 878, 53]","['Drama', 'Mystery', 'Science Fiction', 'Thriller']","['Deutsch', 'English']",[23868],['Tiberius Film'],['']
