tconst,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,release_year
tt0479997,Season of the Witch,Season of the Witch,2011,95.0,"Action,Adventure,Fantasy",5.4,85777,89,2011-01-07,Season of the Witch,40000000,24827228,91126600,2011
tt0480255,The Losers,The Losers,2010,97.0,"Action,Adventure,Crime",6.4,83876,44,2010-04-23,The Losers,25000000,23591432,29863840,2010
tt3746918,The Losers,The Losers,2013,112.0,Drama,1.7,70,44,2010-04-23,The Losers,25000000,23591432,29863840,2010
tt0480687,Hall Pass,Hall Pass,2011,105.0,"Comedy,Romance",5.9,113775,57,2011-02-25,Hall Pass,68000000,45060734,87173475,2011
tt0481499,The Croods,The Croods,2013,98.0,"Action,Adventure,Animation",7.2,176699,26,2013-03-22,The Croods,135000000,187168425,573068425,2013
tt0482461,Barry Munday,Barry Munday,2010,95.0,"Comedy,Drama,Romance",5.9,3846,61,2010-10-01,Barry Munday,3000000,0,0,2010
tt0485985,Red Tails,Red Tails,2012,125.0,"Action,Adventure,Drama",5.9,31815,61,2012-01-20,Red Tails,58000000,49876377,50365498,2012
tt0490215,Silence,Silence,2016,161.0,"Adventure,Drama,History",7.2,85242,42,2016-12-23,Silence,46500000,7100177,23726626,2016
tt2275949,Silence,Silence,2012,87.0,Drama,6.7,174,42,2016-12-23,Silence,46500000,7100177,23726626,2016
tt3425108,Silence,Silence,2013,120.0,"Drama,Thriller",4.6,170,42,2016-12-23,Silence,46500000,7100177,23726626,2016
tt0491152,Something Borrowed,Something Borrowed,2011,112.0,"Comedy,Drama,Romance",5.9,54314,72,2011-05-06,Something Borrowed,35000000,39046489,65084116,2011
tt0491203,Tulip Fever,Tulip Fever,2017,105.0,"Drama,History,Romance",6.2,15037,8,2017-09-01,Tulip Fever,25000000,2455635,6792768,2017
tt0492389,Furry Vengeance,Furry Vengeance,2010,92.0,"Comedy,Family",3.8,14700,17,2010-04-30,Furry Vengeance,35000000,17630465,39340177,2010
tt0493949,Ramona and Beezus,Ramona and Beezus,2010,103.0,"Adventure,Comedy,Family",6.6,16086,60,2010-07-23,Ramona and Beezus,15000000,26167002,27469621,2010
tt0498381,Rings,Rings,2017,102.0,"Drama,Horror,Mystery",4.5,34151,38,2017-02-03,Rings,25000000,27793018,82917283,2017
tt0763831,A Thousand Words,A Thousand Words,2012,91.0,"Comedy,Drama",5.9,36387,1,2012-03-09,A Thousand Words,40000000,18450127,20790486,2012
tt0770703,What's Your Number?,What's Your Number?,2011,106.0,"Comedy,Romance",6.1,67922,24,2011-09-30,What's Your Number?,20000000,14011084,30163785,2011
tt0770802,Samsara,Samsara,2011,102.0,"Documentary,Music",8.5,29725,18,2012-08-24,Samsara,4000000,2672413,5966671,2012
tt0770828,Man of Steel,Man of Steel,2013,143.0,"Action,Adventure,Sci-Fi",7.1,647288,29,2013-06-14,Man of Steel,225000000,291045518,667999518,2013
tt0775489,The Illusionist,L'illusionniste,2010,80.0,"Animation,Drama",7.5,31734,7,2010-12-25,L'illusionniste,17000000,2231474,8609949,2010
tt0780504,Drive,Drive,2011,100.0,"Crime,Drama",7.8,521495,36,2011-09-16,Drive,15000000,35060689,81357930,2011
tt1709105,Drive,Drive,2010,55.0,Documentary,6.3,20,36,2011-09-16,Drive,15000000,35060689,81357930,2011
tt0780653,The Wolfman,The Wolfman,2010,103.0,"Drama,Fantasy,Horror",5.8,97873,91,2010-02-12,The Wolfman,150000000,62189884,142634358,2010
tt0787474,The Boxtrolls,The Boxtrolls,2014,96.0,"Adventure,Animation,Comedy",6.8,50763,94,2014-09-26,The Boxtrolls,60000000,50837305,111946251,2014
tt0787524,The Man Who Knew Infinity,The Man Who Knew Infinity,2015,108.0,"Biography,Drama",7.2,43575,67,2016-04-29,The Man Who Knew Infinity,10000000,3877922,12382122,2016
tt0790628,The Incredible Burt Wonderstone,The Incredible Burt Wonderstone,2013,100.0,"Adventure,Comedy,Fantasy",5.9,67549,7,2013-03-15,The Incredible Burt Wonderstone,32000000,22537881,27392609,2013
tt0790636,Dallas Buyers Club,Dallas Buyers Club,2013,117.0,"Biography,Drama",8.0,402462,73,2013-11-01,Dallas Buyers Club,5000000,27298285,60611845,2013
tt0790724,Jack Reacher,Jack Reacher,2012,130.0,"Action,Crime,Thriller",7.0,284547,68,2012-12-21,Jack Reacher,60000000,80070736,217370736,2012
tt0790736,R.I.P.D.,R.I.P.D.,2013,96.0,"Action,Adventure,Comedy",5.6,109078,55,2013-07-19,R.I.P.D.,130000000,33618855,79076678,2013
tt0800320,Clash of the Titans,Clash of the Titans,2010,106.0,"Action,Adventure,Fantasy",5.8,256176,72,2010-04-01,Clash of the Titans,125000000,163214888,493214888,2010
tt0800369,Thor,Thor,2011,115.0,"Action,Adventure,Fantasy",7.0,683264,70,2011-05-06,Thor,150000000,181030624,449326618,2011
tt0803061,Red Dog,Red Dog,2011,92.0,"Biography,Comedy,Drama",7.4,15357,67,2011-12-31,Red Dog,9100000,0,20927794,2011
tt0803096,Warcraft,Warcraft,2016,123.0,"Action,Adventure,Fantasy",6.9,225557,46,2016-06-10,Warcraft,160000000,47225655,425522281,2016
tt0804497,It's Kind of a Funny Story,It's Kind of a Funny Story,2010,101.0,"Comedy,Drama,Romance",7.1,125583,1,2010-10-08,It's Kind of a Funny Story,8000000,6363628,6632950,2010
tt0808510,Tooth Fairy,Tooth Fairy,2010,101.0,"Comedy,Family,Fantasy",5.0,37939,23,2010-01-22,Tooth Fairy,48000000,60022256,112610386,2010
