,id,imdb_id,title,budget,release_date,revenue,runtime,original_language,original_title,spoken_languages,vote_average,vote_count,genres,poster_path,production_companies
552,11439,tt1139328,The Ghost Writer,45000000,2010-02-12,60222298,128.0,en,The Ghost Writer,"[{'iso_639_1': 'en', 'name': 'English'}]",6.8,1362,"[{'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",/rK7m2Ba0ieXa37NaAmrx4dfRvvM.jpg,"[{'id': 355, 'logo_path': None, 'name': 'R.P. Productions', 'origin_country': 'FR'}, {'id': 264, 'logo_path': '/fA90qwUKgPhMONqtwY60GaHRyrW.png', 'name': 'Studio Babelsberg', 'origin_country': 'DE'}, {'id': 265, 'logo_path': None, 'name': 'Runteam', 'origin_country': 'GB'}, {'id': 83, 'logo_path': '/9OQ0rm55xtlgX7KcAKMUePJSrQc.png', 'name': 'France 2 Cinéma', 'origin_country': 'FR'}]"
553,93498,tt0816362,Card Subject To Change,0,2010-02-13,0,87.0,en,Card Subject To Change,"[{'iso_639_1': 'en', 'name': 'English'}]",4.8,3,"[{'id': 99, 'name': 'Documentary'}]",/r85UkJa6zBFqtVBOFJeRDQElsBa.jpg,"[{'id': 30399, 'logo_path': None, 'name': 'ShoreFront Entertainment', 'origin_country': ''}, {'id': 30400, 'logo_path': None, 'name': 'Iron River Films', 'origin_country': ''}]"
554,202109,,Them Crooked Vultures Austin City Limits,0,2010-02-13,0,55.0,en,Them Crooked Vultures Austin City Limits,[],4.5,2,"[{'id': 10402, 'name': 'Music'}]",,[]
555,504947,tt1976554,Halloween: Black Eyes,0,2010-02-13,0,,en,Halloween: Black Eyes,[],3.0,1,[],/eMyWJ4h5oQ0PjHhQgYGiTCvNzPG.jpg,[]
556,150748,tt1634092,When Lynch Met Lucas,0,2010-02-13,0,3.0,en,When Lynch Met Lucas,[],6.0,2,[],,[]
557,40900,tt1492820,Elevator Girl,0,2010-02-13,0,90.0,en,Elevator Girl,"[{'iso_639_1': 'en', 'name': 'English'}]",6.1,30,"[{'id': 10770, 'name': 'TV Movie'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",/fKFUtpqecNWmofIirG5UDCYaGdq.jpg,[]
558,35221,tt1381505,Father of Invention,0,2010-02-14,0,93.0,en,Father of Invention,"[{'iso_639_1': 'en', 'name': 'English'}]",5.4,82,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",/7ZPJQpl6dRgTYQ1krbSBptZQjMI.jpg,"[{'id': 388, 'logo_path': None, 'name': 'Horizon Pictures', 'origin_country': ''}, {'id': 80676, 'logo_path': None, 'name': 'Pangea Media Group', 'origin_country': ''}, {'id': 17888, 'logo_path': None, 'name': 'K. JAM Media', 'origin_country': 'US'}, {'id': 80675, 'logo_path': None, 'name': 'Bridgegate FIlms', 'origin_country': ''}]"
559,35558,tt1579247,Starstruck,0,2010-02-14,0,81.0,en,Starstruck,"[{'iso_639_1': 'en', 'name': 'English'}]",6.8,796,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 10770, 'name': 'TV Movie'}, {'id': 10402, 'name': 'Music'}]",/kuyJuNiiZvu5iNr8Dgv5y75v1uc.jpg,"[{'id': 3213, 'logo_path': None, 'name': 'Disney Channel', 'origin_country': 'US'}]"
560,130165,tt1581336,President's Day,0,2010-02-15,0,81.0,en,President's Day,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'en', 'name': 'English'}]",3.9,8,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]",/aHeIqf4IUwGxJpMXSyRG7OlchfU.jpg,[]
561,23759,tt1020558,Centurion,12000000,2010-02-15,6814789,97.0,en,Centurion,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'gd', 'name': ''}]",6.2,848,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",/ePiabUJVmHSwXtW5t98bn7G2wxo.jpg,"[{'id': 1178, 'logo_path': None, 'name': 'Pathé Pictures International', 'origin_country': 'GB'}, {'id': 2452, 'logo_path': '/6CLoZ59fLPG7UyxQtGTqRevjf58.png', 'name': 'UK Film Council', 'origin_country': 'GB'}, {'id': 3573, 'logo_path': None, 'name': 'Celador Films', 'origin_country': ''}, {'id': 6301, 'logo_path': None, 'name': 'CinéCinéma', 'origin_country': ''}, {'id': 174, 'logo_path': '/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}, {'id': 104, 'logo_path': '/9aotxauvc9685tq9pTcRJszuT06.png', 'name': 'Canal+', 'origin_country': 'FR'}]"
