tconst,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,release_datetime,datetime_year
tt4178092,The Gift,The Gift,2015,108.0,"Drama,Mystery,Thriller",7.1,123834.0,63,"Aug 7, 2015",The Gift,5000000,43787265,58978477,2015-08-07,2015
tt4420962,The Gift,The Gift,2017,82.0,Drama,6.0,17.0,63,"Aug 7, 2015",The Gift,5000000,43787265,58978477,2015-08-07,2015
tt6354904,The Gift,The Gift,2016,56.0,Documentary,6.2,6.0,63,"Aug 7, 2015",The Gift,5000000,43787265,58978477,2015-08-07,2015
tt7555254,The Gift,The Gift,2017,32.0,"Biography,Documentary,Sport",,,63,"Aug 7, 2015",The Gift,5000000,43787265,58978477,2015-08-07,2015
tt8474974,The Gift,The Gift,2018,118.0,Drama,8.0,34.0,63,"Aug 7, 2015",The Gift,5000000,43787265,58978477,2015-08-07,2015
tt9054566,The Gift,The Gift,2019,89.0,Documentary,,,63,"Aug 7, 2015",The Gift,5000000,43787265,58978477,2015-08-07,2015
tt9574444,The Gift,The Gift,2019,86.0,Romance,,,63,"Aug 7, 2015",The Gift,5000000,43787265,58978477,2015-08-07,2015
tt2091473,Promised Land,Promised Land,2012,106.0,Drama,6.6,34659.0,13,"Jan 4, 2013",Promised Land,15000000,7597898,12394562,2013-01-04,2013
tt3955494,Promised Land,Promised Land,2016,100.0,"Documentary,News",,,13,"Jan 4, 2013",Promised Land,15000000,7597898,12394562,2013-01-04,2013
tt4143104,Promised Land,Promised Land,2011,48.0,Documentary,,,13,"Jan 4, 2013",Promised Land,15000000,7597898,12394562,2013-01-04,2013
tt4834728,Promised Land,Promised Land,2015,79.0,Documentary,,,13,"Jan 4, 2013",Promised Land,15000000,7597898,12394562,2013-01-04,2013
tt7701646,Promised Land,Promised Land,2017,46.0,Documentary,,,13,"Jan 4, 2013",Promised Land,15000000,7597898,12394562,2013-01-04,2013
tt2095649,Grace of Monaco,Grace of Monaco,2014,103.0,"Biography,Drama,Romance",5.7,16685.0,8,"Dec 1, 2015",Grace of Monaco,30000000,0,25199891,2015-12-01,2015
tt2096672,Dumb and Dumber To,Dumb and Dumber To,2014,109.0,"Adventure,Comedy",5.6,118646.0,1,"Nov 14, 2014",Dumb and Dumber To,40000000,86208010,156553592,2014-11-14,2014
tt2097298,"McFarland, USA","McFarland, USA",2015,129.0,"Biography,Drama,Sport",7.4,31735.0,80,"Feb 20, 2015","McFarland, USA",17000000,44480275,45707924,2015-02-20,2015
tt2097333,A.C.O.R.N.S.: Operation Crackdown,Get Squirrely,2015,83.0,"Animation,Comedy,Family",3.9,312.0,51,"Nov 1, 2016",A.C.O.R.N.S.: Operation Crackdown,8500000,0,1353287,2016-11-01,2016
tt2099556,Antiviral,Antiviral,2012,108.0,"Horror,Sci-Fi,Thriller",5.7,11025.0,63,"Apr 12, 2013",Antiviral,3100000,0,123407,2013-04-12,2013
tt2100573,Living Dark: The Story of Ted the Caver,Living Dark: The Story of Ted the Caver,2013,112.0,Horror,5.3,349.0,38,"Apr 23, 2019",Living Dark: The Story of Ted the Caver,1750000,0,0,2019-04-23,2019
tt2101341,Dead Man Down,Dead Man Down,2013,118.0,"Action,Crime,Drama",6.5,61238.0,78,"Mar 8, 2013",Dead Man Down,30000000,10895295,19599974,2013-03-08,2013
tt2101441,Spring Breakers,Spring Breakers,2012,94.0,"Comedy,Crime,Drama",5.3,126504.0,3,"Mar 15, 2013",Spring Breakers,5000000,14124286,31149251,2013-03-15,2013
tt2103254,Tammy,Tammy,2014,97.0,"Comedy,Romance",4.9,44345.0,3,"Jul 2, 2014",Tammy,20000000,84525432,96407655,2014-07-02,2014
tt2103281,Dawn of the Planet of the Apes,Dawn of the Planet of the Apes,2014,130.0,"Action,Adventure,Drama",7.6,390199.0,17,"Jul 11, 2014",Dawn of the Planet of the Apes,170000000,208545589,710644566,2014-07-11,2014
tt2107644,A Plague So Pleasant,A Plague So Pleasant,2013,76.0,"Drama,Horror,Thriller",5.4,72.0,81,"Sep 29, 2015",A Plague So Pleasant,1400,0,0,2015-09-29,2015
tt2109184,Paranormal Activity 4,Paranormal Activity 4,2012,88.0,"Horror,Mystery,Thriller",4.6,58408.0,59,"Oct 19, 2012",Paranormal Activity 4,5000000,53900335,142817992,2012-10-19,2012
tt2109248,Transformers: Age of Extinction,Transformers: Age of Extinction,2014,165.0,"Action,Adventure,Sci-Fi",5.7,283486.0,37,"Jun 27, 2014",Transformers: Age of Extinction,210000000,245439076,1104039076,2014-06-27,2014
tt2111292,Diamond Ruff,Diamond Ruff,2015,82.0,Action,4.3,65.0,80,"Dec 31, 2014",Diamond Ruff,500000,0,0,2014-12-31,2014
tt2112209,Mutual Friends,Mutual Friends,2013,86.0,"Comedy,Romance",6.5,83.0,1,"Jul 1, 2014",Mutual Friends,450000,0,0,2014-07-01,2014
tt2112277,Swelter,Swelter,2014,96.0,"Action,Crime,Drama",4.6,2536.0,42,"Aug 12, 2014",Swelter,8000000,0,44197,2014-08-12,2014
tt2113659,Elsa & Fred,Elsa & Fred,2014,93.0,"Comedy,Drama,Romance",6.5,2711.0,24,"Nov 7, 2014",Elsa & Fred,10000000,67657,197901,2014-11-07,2014
tt2118624,The Final Girls,The Final Girls,2015,88.0,"Comedy,Drama,Fantasy",6.6,30219.0,58,"Nov 3, 2015",The Final Girls,4500000,0,0,2015-11-03,2015
tt7011980,The Final Girls,The Final Girls,2018,45.0,"Comedy,Horror",5.4,5.0,58,"Nov 3, 2015",The Final Girls,4500000,0,0,2015-11-03,2015
tt2119532,Hacksaw Ridge,Hacksaw Ridge,2016,139.0,"Biography,Drama,History",8.1,366904.0,17,"Nov 4, 2016",Hacksaw Ridge,40000000,67209615,168904682,2016-11-04,2016
