,tconst,primary_title,original_title_x,start_year,runtime_minutes,genres,averagerating,numvotes,id,release_date_x,movie,production_budget,domestic_gross,worldwide_gross,release_year,genre_ids,tmdb_id,original_language,original_title_y,popularity,release_date_y,title,vote_average,vote_count
2428,tt3960412,Popstar: Never Stop Never Stopping,Popstar: Never Stop Never Stopping,2016,87.0,"Comedy,Music",6.7,47278.0,47,2016-06-03,Popstar: Never Stop Never Stopping,20000000,9496130,9537120,2016,"[35, 10402]",341012,en,Popstar: Never Stop Never Stopping,11.844000000000001,2016-06-03,Popstar: Never Stop Never Stopping,6.6,675
2429,tt4023894,Gifted,Gipeuteodeu,2014,103.0,"Crime,Drama,Thriller",5.6,107.0,4,2017-04-07,Gifted,7000000,24801212,36964656,2017,"[18, 10751, 35]",400928,en,Gifted,16.745,2017-04-12,Gifted,7.9,2035
2430,tt4481414,Gifted,Gifted,2017,101.0,Drama,7.6,82426.0,4,2017-04-07,Gifted,7000000,24801212,36964656,2017,"[18, 10751, 35]",400928,en,Gifted,16.745,2017-04-12,Gifted,7.9,2035
2431,tt4030600,The Bye Bye Man,The Bye Bye Man,2017,96.0,"Drama,Fantasy,Horror",4.3,17743.0,77,2017-01-13,The Bye Bye Man,7400000,22395806,31187727,2017,"[27, 53]",292280,en,The Bye Bye Man,9.847000000000001,2017-01-13,The Bye Bye Man,5.1,678
2432,tt4034228,Manchester by the Sea,Manchester by the Sea,2016,137.0,Drama,7.8,214557.0,30,2016-11-18,Manchester by the Sea,8500000,47695371,77733867,2016,[18],334541,en,Manchester by the Sea,16.637999999999998,2016-11-18,Manchester by the Sea,7.5,3176
2433,tt4034354,Swiss Army Man,Swiss Army Man,2016,97.0,"Adventure,Comedy,Drama",7.0,91736.0,10,2016-06-24,Swiss Army Man,3000000,4210454,5837111,2016,"[35, 18, 10749, 14, 12]",347031,en,Swiss Army Man,10.0,2016-06-24,Swiss Army Man,6.9,1789
2434,tt4044464,Adulterers,Avouterie,2015,91.0,"Crime,Drama,Thriller",5.2,1377.0,86,2016-01-05,Adulterers,750000,0,0,2016,"[53, 80, 18]",376004,en,Adulterers,8.058,2016-01-05,Adulterers,5.2,29
2435,tt4046784,Maze Runner: The Scorch Trials,Maze Runner: The Scorch Trials,2015,131.0,"Action,Sci-Fi,Thriller",6.3,201143.0,38,2015-09-18,Maze Runner: The Scorch Trials,61000000,81697192,310566162,2015,"[28, 878, 53]",294254,en,Maze Runner: The Scorch Trials,17.31,2015-09-18,Maze Runner: The Scorch Trials,6.6,6365
2436,tt4052882,The Shallows,The Shallows,2016,86.0,"Drama,Horror,Thriller",6.3,106927.0,54,2016-06-24,The Shallows,13000000,55121623,118763442,2016,"[27, 18, 53]",332567,en,The Shallows,14.091,2016-06-24,The Shallows,6.3,3037
2437,tt4056738,Do You Believe?,Do You Believe?,2015,120.0,Drama,6.1,6462.0,60,2015-03-20,Do You Believe?,2300000,12985600,14304931,2015,"[14, 18]",309425,en,Do You Believe?,5.599,2015-03-20,Do You Believe?,7.0,72
2438,tt6960218,Do You Believe?,Do You Believe?,2017,71.0,"Fantasy,Horror",3.8,37.0,60,2015-03-20,Do You Believe?,2300000,12985600,14304931,2015,"[14, 18]",309425,en,Do You Believe?,5.599,2015-03-20,Do You Believe?,7.0,72
2439,tt4060866,Code of Honor,Code of Honor,2016,106.0,"Action,Crime,Thriller",4.2,1961.0,47,2016-05-06,Code of Honor,8000000,0,0,2016,"[28, 80, 53]",389425,en,Code of Honor,4.408,2016-05-06,Code of Honor,4.2,36
